Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 [136] collision (d2q9-bgk.c:294 @ 4022e7) [102] collision (d2q9-bgk.c:365 @ 40295c) [89] rebound (d2q9-bgk.c:278 @ 401fd8)
 [132] collision (d2q9-bgk.c:304 @ 402340) [74] collision (d2q9-bgk.c:369 @ 402965) [112] rebound (d2q9-bgk.c:279 @ 402035)
 [101] collision (d2q9-bgk.c:306 @ 40234c) [55] collision (d2q9-bgk.c:370 @ 40298e) [121] rebound (d2q9-bgk.c:280 @ 402092)
  [67] collision (d2q9-bgk.c:309 @ 402358) [69] collision (d2q9-bgk.c:371 @ 4029bb) [113] rebound (d2q9-bgk.c:281 @ 4020ef)
  [99] collision (d2q9-bgk.c:312 @ 402384) [120] collision (d2q9-bgk.c:369 @ 4029da) [114] rebound (d2q9-bgk.c:282 @ 40214c)
  [10] collision (d2q9-bgk.c:314 @ 40238d) [79] collision (d2q9-bgk.c:372 @ 4029e3) [117] rebound (d2q9-bgk.c:283 @ 4021a9)
   [1] collision (d2q9-bgk.c:316 @ 402396) [56] collision (d2q9-bgk.c:373 @ 402a0c) [118] rebound (d2q9-bgk.c:284 @ 402206)
  [43] collision (d2q9-bgk.c:314 @ 4023da) [75] collision (d2q9-bgk.c:374 @ 402a39) [105] rebound (d2q9-bgk.c:285 @ 402263)
  [47] collision (d2q9-bgk.c:320 @ 4023e4) [86] collision (d2q9-bgk.c:372 @ 402a58) [111] rebound (d2q9-bgk.c:271 @ 4022c0)
  [46] collision (d2q9-bgk.c:321 @ 402415) [70] collision (d2q9-bgk.c:375 @ 402a61) [139] timestep (d2q9-bgk.c:195 @ 4016d9)
  [34] collision (d2q9-bgk.c:322 @ 40244a) [63] collision (d2q9-bgk.c:376 @ 402a8a) [131] timestep (d2q9-bgk.c:199 @ 40179e)
  [57] collision (d2q9-bgk.c:323 @ 40247f) [83] collision (d2q9-bgk.c:377 @ 402ab7) [143] write_values (d2q9-bgk.c:650 @ 4039d9)
  [27] collision (d2q9-bgk.c:324 @ 4024b0) [84] collision (d2q9-bgk.c:375 @ 402ad6)
